year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2003,Washington,53,471,6104115,7.7,7.5,0.3,West,WA,Pacific
2003,West Virginia,54,193,1812295,10.6,11.2,0.8,South,WV,South Atlantic
2003,Wisconsin,55,200,5479203,3.7,3.7,0.3,Midwest,WI,East North Central
2004,Alabama,1,83,4530729,1.8,1.8,0.2,South,AL,East South Central
2004,Alaska,2,10,659286,NA,NA,0.4,West,AK,Pacific
2004,Arizona,4,344,5652404,6.1,6.3,0.3,West,AZ,Mountain
2004,Arkansas,5,127,2749686,4.6,4.8,0.4,South,AR,West South Central
2004,California,6,1413,35574576,4,4,0.1,West,CA,Pacific
2004,Colorado,8,224,4575013,4.9,4.8,0.3,West,CO,Mountain
2004,Connecticut,9,193,3496094,5.5,5.7,0.4,Northeast,CT,New England
2004,Delaware,10,35,830803,4.2,4.2,0.7,South,DE,South Atlantic
2004,District of Columbia,11,53,567754,9.3,9.4,1.3,South,DC,NA
2004,Florida,12,1196,17415318,6.9,7.1,0.2,South,FL,South Atlantic
2004,Georgia,13,258,8769252,2.9,2.9,0.2,South,GA,South Atlantic
2004,Hawaii,15,57,1273569,4.5,4.4,0.6,West,HI,Pacific
2004,Idaho,16,47,1391802,3.4,3.5,0.5,West,ID,Mountain
2004,Illinois,17,532,12589773,4.2,4.2,0.2,Midwest,IL,East North Central
2004,Indiana,18,138,6233007,2.2,2.2,0.2,Midwest,IN,East North Central
2004,Iowa,19,61,2953635,2.1,2.1,0.3,Midwest,IA,West North Central
2004,Kansas,20,116,2734373,4.2,4.4,0.4,Midwest,KS,West North Central
2004,Kentucky,21,221,4146101,5.3,5.4,0.4,South,KY,East South Central
2004,Louisiana,22,144,4552238,3.2,3.2,0.3,South,LA,West South Central
2004,Maine,23,98,1313688,7.5,7.7,0.8,Northeast,ME,New England
2004,Maryland,24,486,5546935,8.8,8.5,0.4,South,MD,South Atlantic
2004,Massachusetts,25,459,6412281,7.2,7.1,0.3,Northeast,MA,New England
2004,Michigan,26,351,10055315,3.5,3.5,0.2,Midwest,MI,East North Central
2004,Minnesota,27,135,5087713,2.7,2.6,0.2,Midwest,MN,West North Central
2004,Mississippi,28,26,2889010,0.9,1,0.2,South,MS,East South Central
2004,Missouri,29,275,5747741,4.8,4.9,0.3,Midwest,MO,West North Central
2004,Montana,30,45,930009,4.8,5,0.8,West,MT,Mountain
2004,Nebraska,31,26,1749370,1.5,1.6,0.3,Midwest,NE,West North Central
2004,Nevada,32,275,2346222,11.7,11.6,0.7,West,NV,Mountain
2004,New Hampshire,33,90,1290121,7,6.9,0.7,Northeast,NH,New England
2004,New Jersey,34,312,8634561,3.6,3.6,0.2,Northeast,NJ,Middle Atlantic
2004,New Mexico,35,185,1903808,9.7,10,0.7,West,NM,Mountain
2004,New York,36,479,19171567,2.5,2.4,0.1,Northeast,NY,Middle Atlantic
2004,North Carolina,37,562,8553152,6.6,6.6,0.3,South,NC,South Atlantic
2004,North Dakota,38,13,644705,NA,NA,0.5,Midwest,ND,West North Central
2004,Ohio,39,515,11452251,4.5,4.5,0.2,Midwest,OH,East North Central
2004,Oklahoma,40,306,3525233,8.7,8.9,0.5,South,OK,West South Central
2004,Oregon,41,225,3569463,6.3,6.2,0.4,West,OR,Pacific
2004,Pennsylvania,42,475,12410722,3.8,3.9,0.2,Northeast,PA,Middle Atlantic
2004,Rhode Island,44,75,1074579,7,7,0.8,Northeast,RI,New England
2004,South Carolina,45,128,4210921,3,3.1,0.3,South,SC,South Atlantic
2004,South Dakota,46,20,770396,2.6,2.7,0.6,Midwest,SD,West North Central
2004,Tennessee,47,379,5910809,6.4,6.4,0.3,South,TN,East South Central
2004,Texas,48,814,22394023,3.6,3.7,0.1,South,TX,West South Central
2004,Utah,49,264,2401580,11,11.8,0.7,West,UT,Mountain
2004,Vermont,50,37,619920,6,6.1,1,Northeast,VT,New England
2004,Virginia,51,390,7475575,5.2,5.1,0.3,South,VA,South Atlantic
2004,Washington,53,575,6178645,9.3,9,0.4,West,WA,Pacific
2004,West Virginia,54,251,1816438,13.8,14.2,0.9,South,WV,South Atlantic
2004,Wisconsin,55,221,5514026,4,4,0.3,Midwest,WI,East North Central
2004,Wyoming,56,12,509106,NA,NA,0.7,West,WY,Mountain
2005,Alabama,1,80,4569805,1.8,1.8,0.2,South,AL,East South Central
2005,Alaska,2,18,666946,NA,NA,0.6,West,AK,Pacific
2005,Arizona,4,375,5839077,6.4,6.6,0.3,West,AZ,Mountain
2005,Arkansas,5,123,2781097,4.4,4.6,0.4,South,AR,West South Central
2005,California,6,1372,35827943,3.8,3.8,0.1,West,CA,Pacific
2005,Colorado,8,295,4631888,6.4,6.2,0.4,West,CO,Mountain
2005,Connecticut,9,163,3506956,4.6,4.7,0.4,Northeast,CT,New England
2005,Delaware,10,29,845150,3.4,3.5,0.7,South,DE,South Atlantic
2005,District of Columbia,11,44,567136,7.8,7.8,1.2,South,DC,NA
2005,Florida,12,1097,17842038,6.1,6.3,0.2,South,FL,South Atlantic
2005,Georgia,13,300,8925922,3.4,3.3,0.2,South,GA,South Atlantic
2005,Hawaii,15,67,1292729,5.2,5,0.6,West,HI,Pacific
2005,Idaho,16,50,1428241,3.5,3.7,0.5,West,ID,Mountain
2005,Illinois,17,590,12609903,4.7,4.7,0.2,Midwest,IL,East North Central
2005,Indiana,18,160,6278616,2.5,2.6,0.2,Midwest,IN,East North Central
2005,Iowa,19,67,2964454,2.3,2.4,0.3,Midwest,IA,West North Central
2005,Kansas,20,106,2745299,3.9,4.1,0.4,Midwest,KS,West North Central
2005,Kentucky,21,285,4182742,6.8,6.8,0.4,South,KY,East South Central
2005,Louisiana,22,172,4576628,3.8,3.8,0.3,South,LA,West South Central
2005,Maine,23,116,1318787,8.8,9,0.8,Northeast,ME,New England
2005,Maryland,24,495,5592379,8.9,8.6,0.4,South,MD,South Atlantic
2005,Massachusetts,25,557,6403290,8.7,8.6,0.4,Northeast,MA,New England
2005,Michigan,26,483,10051137,4.8,4.8,0.2,Midwest,MI,East North Central
2005,Minnesota,27,144,5119598,2.8,2.8,0.2,Midwest,MN,West North Central
2005,Mississippi,28,40,2905943,1.4,1.4,0.2,South,MS,East South Central
2005,Missouri,29,302,5790300,5.2,5.3,0.3,Midwest,MO,West North Central
2005,Montana,30,45,940102,4.8,4.7,0.7,West,MT,Mountain
2005,Nebraska,31,43,1761497,2.4,2.5,0.4,Midwest,NE,West North Central
2005,Nevada,32,323,2432143,13.3,13.1,0.7,West,NV,Mountain
2005,New Hampshire,33,109,1298492,8.4,8.2,0.8,Northeast,NH,New England
2005,New Jersey,34,435,8651974,5,5,0.2,Northeast,NJ,Middle Atlantic
2005,New Mexico,35,211,1932274,10.9,11.4,0.8,West,NM,Mountain
2005,New York,36,562,19132610,2.9,2.9,0.1,Northeast,NY,Middle Atlantic
2005,North Carolina,37,654,8705407,7.5,7.5,0.3,South,NC,South Atlantic
2005,Ohio,39,560,11463320,4.9,4.9,0.2,Midwest,OH,East North Central
2005,Oklahoma,40,313,3548597,8.8,9,0.5,South,OK,West South Central
2005,Oregon,41,267,3613202,7.4,7.2,0.4,West,OR,Pacific
2005,Pennsylvania,42,504,12449990,4,4.2,0.2,Northeast,PA,Middle Atlantic
2005,Rhode Island,44,112,1067916,10.5,10.3,1,Northeast,RI,New England
2005,South Carolina,45,149,4270150,3.5,3.5,0.3,South,SC,South Atlantic
2005,South Dakota,46,22,775493,2.8,3.1,0.7,Midwest,SD,West North Central
2005,Tennessee,47,447,5991057,7.5,7.5,0.4,South,TN,East South Central
2005,Texas,48,872,22778123,3.8,3.9,0.1,South,TX,West South Central
2005,Utah,49,326,2457719,13.3,14.2,0.8,West,UT,Mountain
2005,Vermont,50,37,621215,6,6.1,1,Northeast,VT,New England
2005,Virginia,51,363,7577105,4.8,4.7,0.2,South,VA,South Atlantic
2005,Washington,53,603,6257305,9.6,9.2,0.4,West,WA,Pacific
2005,West Virginia,54,140,1820492,7.7,8.2,0.7,South,WV,South Atlantic
